City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Le Mans,FR,48,0.2,60.73,77,0,5.75,clear sky
214,Maragogi,BR,-9.0122,-35.2225,73.02,87,68,7.81,broken clouds
215,Kodiak,US,57.79,-152.4072,59.56,59,59,11.07,broken clouds
216,Qinzhou,CN,21.95,108.6167,84.83,82,100,5.46,moderate rain
217,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,55,75,4.47,light rain
218,Flin Flon,CA,54.7682,-101.865,66.04,68,40,8.05,scattered clouds
219,Elat,IL,29.5581,34.9482,87.64,37,0,4.61,clear sky
220,Bismarck,US,46.8083,-100.7837,99.88,24,1,6.91,clear sky
221,Xichang,CN,27.8964,102.2634,69.89,97,100,2.24,light rain
222,San Andres,CO,12.5847,-81.7006,84.22,70,90,11.5,overcast clouds
223,Havelock,US,34.8791,-76.9013,84.15,83,1,9.22,clear sky
224,Belyy Yar,RU,53.6039,91.3903,51.69,100,90,0,fog
225,Bengkulu,ID,-3.8004,102.2655,76.37,87,62,3.98,broken clouds
226,Richards Bay,ZA,-28.783,32.0377,64.15,62,1,10.4,clear sky
227,Mackay,AU,-21.15,149.2,73.04,68,33,13.8,scattered clouds
228,Broome,US,42.2506,-75.833,78.35,79,43,1.52,scattered clouds
229,Cayenne,GF,4.9333,-52.3333,82.09,83,0,5.01,clear sky
230,Tecpan,GT,14.7623,-90.9947,56.61,92,100,0.47,overcast clouds
231,Mahebourg,MU,-20.4081,57.7,68.29,94,75,3.44,light rain
232,Yanam,IN,16.7333,82.2167,82.45,79,99,3.36,overcast clouds
233,Moorhead,US,46.8739,-96.7676,85.98,52,1,1.01,clear sky
234,Tiznit,MA,29.5833,-9.5,63.57,82,38,4.56,scattered clouds
235,Corowa,AU,-36.0333,146.3833,51.28,78,100,6.67,overcast clouds
236,Egvekinot,RU,66.3167,-179.1667,48.97,52,77,14.07,broken clouds
237,Namatanai,PG,-3.6667,152.4333,83.64,68,59,6.93,broken clouds
238,Melita,CA,49.2681,-100.9967,93.18,22,2,15.7,clear sky
239,Praia,CV,14.9215,-23.5087,79.34,89,20,4.61,few clouds
240,Constantine,DZ,36.365,6.6147,76.41,57,0,3.44,clear sky
241,Venado Tuerto,AR,-33.7456,-61.9688,41.77,90,100,15.66,moderate rain
242,Seoul,KR,37.5683,126.9778,83.59,65,0,6.91,clear sky
243,Jalu,LY,29.0331,21.5482,84.09,40,0,9.28,clear sky
244,Muros,ES,42.7762,-9.0603,63.23,87,99,4.61,overcast clouds
245,Khor,RU,47.8861,134.9464,54.34,96,100,8.68,overcast clouds
246,Kamenka,RU,51.3223,42.7678,77.49,28,100,9.55,light rain
247,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,3.44,light rain
248,Bintulu,MY,3.1667,113.0333,75.61,94,40,2.3,scattered clouds
249,Kayerkan,RU,69.3497,87.7602,55.44,71,0,9.31,clear sky
250,Aksay,RU,47.26,39.87,74.14,65,98,4.59,overcast clouds
251,Birao,CF,10.2849,22.7882,69.08,97,100,3.62,overcast clouds
252,Flinders,AU,-34.5833,150.8552,57.2,85,100,3,overcast clouds
253,Port Hardy,CA,50.6996,-127.4199,60.98,88,90,10.36,overcast clouds
254,Ayame,CI,5.6083,-3.1563,73.2,93,80,5.86,broken clouds
255,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds
256,Souillac,MU,-20.5167,57.5167,68.38,94,75,3.44,light rain
257,Merauke,ID,-8.4667,140.3333,78.8,80,97,13.89,overcast clouds
258,Tomatlan,MX,19.9333,-105.25,80.47,90,63,3.31,broken clouds
259,Aswan,EG,24.0934,32.907,94.3,14,0,9.22,clear sky
260,Yima,CN,34.7381,111.8839,76.03,77,9,4.36,light rain
261,Vejalpur,IN,22.6833,73.5667,81.52,82,100,10.27,overcast clouds
262,Ilulissat,GL,69.2167,-51.1,37.78,94,100,6.6,overcast clouds
263,Batagay,RU,67.6333,134.6333,77.77,30,15,2.48,few clouds
264,Touros,BR,-5.1989,-35.4608,77.9,83,35,14.7,scattered clouds
265,Kochi,IN,9.9399,76.2602,75.18,90,97,6.8,overcast clouds
266,Dir,PK,35.2058,71.8756,68.56,70,19,4.81,few clouds
267,Maceio,BR,-9.6658,-35.7353,72.84,94,75,6.91,mist
268,Qaanaaq,GL,77.484,-69.3632,39.51,72,18,4.21,few clouds
269,San Juan,AR,-31.5375,-68.5364,45.7,74,19,20.27,few clouds
270,Nanortalik,GL,60.1432,-45.2371,42.93,92,36,12.5,scattered clouds
271,San-Pedro,CI,4.7485,-6.6363,75.22,89,58,8.37,light rain
272,Nalut,LY,30.3333,10.85,90.18,18,0,13.31,clear sky
273,Oranjestad,AW,12.524,-70.027,84.15,74,40,16.11,scattered clouds
274,La Palma,US,33.8464,-118.0467,104.04,61,1,8.99,clear sky
275,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,52,0,8.05,clear sky
276,Laguna,US,38.421,-121.4238,102.31,35,1,4,clear sky
277,Asau,RO,46.4333,26.4,59.92,67,2,3.02,light rain
278,Leningradskiy,RU,69.3833,178.4167,40.55,75,28,18.16,scattered clouds
279,Nome,US,64.5011,-165.4064,58.1,79,100,12.37,overcast clouds
280,Pierre,US,44.3683,-100.351,94.86,32,0,3,clear sky
281,Cherskiy,RU,68.75,161.3,61.86,31,40,3.06,scattered clouds
282,Vao,NC,-22.6667,167.4833,66.65,70,37,20.29,scattered clouds
283,Aklavik,CA,68.2191,-135.0107,57.92,41,11,4.12,few clouds
284,Saint Augustine,US,29.8947,-81.3145,86.27,84,100,7.76,overcast clouds
285,Ilorin,NG,8.5,4.55,71.31,94,100,9.82,light rain
286,Tura,IN,25.5198,90.2201,75,98,97,5.73,overcast clouds
287,Kirkuk,IQ,35.4681,44.3922,89.56,23,0,7.67,clear sky
288,Aktau,KZ,43.65,51.2,82.98,25,80,11.54,broken clouds
289,Mandan,US,46.8267,-100.8896,100.04,24,1,6.91,clear sky
290,Micheweni,TZ,-4.9667,39.8333,73.04,83,18,7.4,few clouds
291,Desbiens,CA,48.4178,-71.9495,69.55,70,99,2.19,overcast clouds
292,Ust-Nera,RU,64.5667,143.2,72.34,40,7,4.07,clear sky
293,Castro,BR,-24.7911,-50.0119,60.8,59,97,4.52,overcast clouds
294,Santa Catarina Da Serra,PT,39.6796,-8.6868,58.01,88,4,6.62,clear sky
295,Grindavik,IS,63.8424,-22.4338,58.95,94,75,13.8,broken clouds
296,Wewak,PG,-3.5534,143.6268,82.09,72,92,4.88,overcast clouds
297,Kirensk,RU,57.7853,108.1119,60.49,63,71,1.97,broken clouds
298,Usinsk,RU,65.9939,57.5281,43.9,93,22,8.39,few clouds
299,Kumluca,TR,36.3703,30.2869,82.58,51,0,4.16,clear sky
300,Cabinda,AO,-5.55,12.2,72.27,81,38,5.03,scattered clouds
301,Boa Vista,BR,2.8197,-60.6733,84.18,65,20,5.75,few clouds
302,Abonnema,NG,4.7084,6.7931,73.62,92,100,1.81,overcast clouds
303,Kurilsk,RU,45.2333,147.8833,52.9,87,100,15.5,overcast clouds
304,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.9,39,31,2.39,scattered clouds
305,Posse,BR,-14.0931,-46.3694,70.59,37,0,9.4,clear sky
306,Kovernino,RU,57.1253,43.8142,67.64,64,100,5.99,overcast clouds
307,Norman Wells,CA,65.282,-126.8329,57.24,58,75,11.5,broken clouds
308,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,8.05,clear sky
309,Lata,PT,40.1629,-8.3327,60.06,97,4,1.54,clear sky
310,Airai,TL,-8.9266,125.4092,65.44,62,22,3,few clouds
311,Yerbogachen,RU,61.2767,108.0108,60.28,48,2,3.36,clear sky
312,Tual,ID,-5.6667,132.75,79.75,80,100,18.41,overcast clouds
313,Tame,CO,6.461,-71.73,72.54,93,100,3.71,overcast clouds
314,Sistranda,NO,63.7256,8.834,62.91,81,9,6.42,clear sky
315,Faya,SA,18.3851,42.4509,77.52,41,58,4.43,broken clouds
316,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,80.91,58,86,6.15,overcast clouds
317,Saldanha,ZA,-33.0117,17.9442,55.45,81,100,20.51,light rain
318,Melo,UY,-32.3667,-54.1833,64.6,85,99,3.44,overcast clouds
319,Sibolga,ID,1.7427,98.7792,76.33,88,81,4,broken clouds
